trait,mode_locked,valence,intensity,strength,psych_trait_family
adaptable,FALSE,2,1,flexibility,Openness
adrift,TRUE,0,1,perspective,Neuroticism
affectionate,FALSE,2,2,love,Agreeableness
alluring,TRUE,1,2,love,Extraversion
ambitious,FALSE,2,1,perseverance,Conscientiousness
analytical,FALSE,2,0,judgment,Openness
assertive,FALSE,0,1,leadership,Extraversion
autonomous,FALSE,2,1,autonomy,Openness
blunt,TRUE,0,2,honesty,Disagreeableness
bold,FALSE,2,2,bravery,Extraversion
calculating,TRUE,0,2,adversarial,Conscientiousness
calm,FALSE,2,0,self_regulation,Agreeableness
carnal,TRUE,1,2,desire,Extraversion
charismatic,FALSE,2,2,leadership,Extraversion
cheeky,TRUE,1,2,humor,Extraversion
clinical,TRUE,0,2,judgment,Conscientiousness
cold,TRUE,0,2,self_regulation,Disagreeableness
compassionate,FALSE,2,2,kindness,Agreeableness
composed,FALSE,2,0,self_regulation,Conscientiousness
confident,FALSE,2,1,confidence,Extraversion
conflicted,TRUE,0,2,perspective,Neuroticism
consumed,TRUE,0,2,perseverance,Neuroticism
contemplative,FALSE,1,0,perspective,Openness
contrarian,TRUE,0,2,bravery,Disagreeableness
coquettish,TRUE,1,2,performative_desire,Extraversion
coy,TRUE,1,1,social_intelligence,Agreeableness
curious,FALSE,2,1,curiosity,Openness
cutting,TRUE,0,2,honesty,Disagreeableness
daring,FALSE,0,2,bravery,Extraversion
deadpan,TRUE,0,2,humor,Expressive
detached,TRUE,-1,1.5,emotional_distance,Neuroticism
devoted,TRUE,1,2,love,Agreeableness
discerning,FALSE,2,0,judgment,Openness
dismissive,TRUE,0,2,self_regulation,Disagreeableness
dramatic,TRUE,0,2,creativity,Expressive
driven,FALSE,2,1,perseverance,Conscientiousness
eccentric,FALSE,0,1,creativity,Expressive
emotionally intelligent,FALSE,2,2,social_intelligence,Agreeableness
empathetic,FALSE,2,2,kindness,Agreeableness
enigmatic,TRUE,1,1,perspective,Openness
ethereal,TRUE,1,1,art_and_beauty,Expressive
exposed,TRUE,0,1,bravery,Neuroticism
expressive,FALSE,2,2,creativity,Expressive
fixated,TRUE,0,2,perseverance,Neuroticism
flirty,TRUE,1,2,humor,Extraversion
fragmented,TRUE,0,2,perspective,Neuroticism
generous,FALSE,2,1,kindness,Agreeableness
gentle,FALSE,2,0,humility,Agreeableness
grounded,FALSE,2,0,self_regulation,Conscientiousness
guarded,TRUE,0,2,prudence,Neuroticism
haunted,TRUE,0,2,spirituality,Neuroticism
hollow,TRUE,0,1,self_regulation,Neuroticism
iconic,TRUE,1,2,art_and_beauty,Expressive
icy,TRUE,0,2,self_regulation,Disagreeableness
imaginative,FALSE,2,1,creativity,Openness
incisive,FALSE,2,1,judgment,Openness
independent,FALSE,2,1,autonomy,Openness
insatiable,TRUE,1,2,desire,Neuroticism
intense,TRUE,0,2,zest,Neuroticism
introspective,FALSE,2,1,self_awareness,Openness
intuitive,FALSE,1,1,wisdom,Openness
inviting,TRUE,1,1,kindness,Expressive
irreverent,TRUE,0,2,humor,Disagreeableness
jealous,TRUE,0,2,honesty,Neuroticism
loyal,FALSE,2,2,teamwork,Agreeableness
magnetic,TRUE,1,2,social intelligence,Extraversion
methodical,FALSE,2,0,self_regulation,Conscientiousness
meticulous,TRUE,2,1,prudence,Conscientiousness
mischievous,FALSE,0,1,humor,Extraversion
neutral,TRUE,1,0,fairness,Conscientiousness
nurturing,FALSE,2,1,caregiving,Agreeableness
obedient,TRUE,0,1,submissive,Conscientiousness
objective,TRUE,1,0,judgment,Openness
obsessive,TRUE,0,2,perseverance,Neuroticism
oppositional,TRUE,0,2,adversarial,Disagreeableness
oracular,TRUE,1,2,spirituality,Openness
original,FALSE,2,1,creativity,Expressive
passionate,FALSE,2,2,zest,Extraversion
patient,FALSE,2,0,self_regulation,Agreeableness
perceptive,FALSE,2,0,perspective,Openness
performative,TRUE,0,2,art_and_beauty,Expressive
philosophical,FALSE,2,0,love_of_learning,Openness
piercing,FALSE,1,2,perceptive,Expressive
playful,FALSE,2,1,humor,Extraversion
possessive,TRUE,0,2,love,Neuroticism
private,TRUE,0,2,prudence,Conscientiousness
protective,FALSE,2,1.5,caregiving,Agreeableness
provocative,TRUE,1,2,bravery,Extraversion
quirky,FALSE,2,1,creativity,Expressive
rebellious,TRUE,0,2,bravery,Disagreeableness
reckless,TRUE,0,2,zest,Extraversion
relentless,TRUE,0,2,perseverance,Neuroticism
removed,TRUE,0,1,self_regulation,Neuroticism
reserved,TRUE,0,2,prudence,Conscientiousness
resigned,TRUE,-1,1,narrative_state,Neuroticism
resilient,FALSE,2,1,hope,Neuroticism
scrupulous,FALSE,2,0,honesty,Conscientiousness
seductive,TRUE,1,2,social_intelligence,Expressive
sincere,FALSE,2,1,honesty,Agreeableness
skeptical,FALSE,0,0,judgment,Openness
smirking,TRUE,1,2,humor,Expressive
steady,FALSE,2,0,self_regulation,Neuroticism
stoic,TRUE,0,0,self_regulation,Neuroticism
strategic,FALSE,2,1,wisdom,Conscientiousness
stylized,TRUE,1,1,creativity,Expressive
suggestive,TRUE,1,2,social_intelligence,Expressive
sultry,TRUE,1,2,love,Expressive
surgical,TRUE,0,2,judgment,Conscientiousness
systematic,TRUE,2,0,prudence,Conscientiousness
teasing,TRUE,1,1,humor,Extraversion
tempting,TRUE,1,2,social_intelligence,Extraversion
thoughtful,FALSE,2,0,kindness,Agreeableness
transcendent,TRUE,2,2,spirituality,Openness
unfiltered,TRUE,0,2,honesty,Extraversion
unyielding,TRUE,0,2,perseverance,Conscientiousness
visionary,TRUE,2,2,creativity,Openness
volatile,TRUE,0,2,zest,Neuroticism
vulnerable,TRUE,1,1,bravery,Agreeableness
warm,FALSE,2,1,love,Agreeableness
witty,FALSE,2,1,humor,Expressive
